class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,native,291,1,1786665217.706640,1786665217.708246,1786665217.709487,1.240,20,0
ALL,native,292,1,1786665217.709767,1786665217.710337,1786665217.712525,2.188,20,0
ALL,native,293,1,1786665217.712856,1786665217.713467,1786665217.714654,1.187,20,0
ALL,native,294,1,1786665217.714984,1786665217.716548,1786665217.717781,1.233,20,0
ALL,native,295,1,1786665217.718111,1786665217.718862,1786665217.721069,2.207,20,0
ALL,native,296,1,1786665217.721390,1786665217.721922,1786665217.724433,2.511,20,0
ALL,native,297,1,1786665217.724762,1786665217.725395,1786665217.726547,1.152,20,0
ALL,native,298,1,1786665217.726874,1786665217.728514,1786665217.729652,1.137,20,0
ALL,native,299,1,1786665217.729982,1786665217.730601,1786665217.732767,2.165,20,0
ALL,native,300,1,1786665217.733096,1786665217.733672,1786665217.734879,1.207,20,0
ALL,native,301,1,1786665217.735215,1786665217.736830,1786665217.737966,1.136,20,0
ALL,native,302,1,1786665217.738320,1786665217.738851,1786665217.741107,2.257,20,0
ALL,native,303,1,1786665217.741462,1786665217.742004,1786665217.743328,1.324,20,0
ALL,native,304,1,1786665217.743611,1786665217.745191,1786665217.746370,1.178,20,0
ALL,native,305,1,1786665217.746709,1786665217.747338,1786665217.749646,2.308,20,0
ALL,native,306,1,1786665217.749979,1786665217.750502,1786665217.751774,1.272,20,0
ALL,native,307,1,1786665217.752109,1786665217.753694,1786665217.754885,1.191,20,0
ALL,native,308,1,1786665217.755218,1786665217.755726,1786665217.757972,2.246,20,0
ALL,native,309,1,1786665217.758328,1786665217.758825,1786665217.760188,1.364,20,0
ALL,native,310,1,1786665217.760561,1786665217.762095,1786665217.763368,1.273,20,0
ALL,native,311,1,1786665217.763701,1786665217.764328,1786665217.766488,2.160,20,0
ALL,native,312,1,1786665217.766823,1786665217.767451,1786665217.768698,1.247,20,0
ALL,native,313,1,1786665217.769029,1786665217.770627,1786665217.771736,1.108,20,0
ALL,native,314,1,1786665217.772068,1786665217.772683,1786665217.774912,2.228,20,0
ALL,native,315,1,1786665217.775240,1786665217.775862,1786665217.777024,1.161,20,0
ALL,native,316,1,1786665217.777375,1786665217.779149,1786665217.780288,1.139,20,0
ALL,native,317,1,1786665217.780617,1786665217.781204,1786665217.783553,2.350,20,0
ALL,native,318,1,1786665217.783837,1786665217.784395,1786665217.785621,1.226,20,0
ALL,native,319,1,1786665217.785947,1786665217.787446,1786665217.792883,5.437,20,0
ALL,native,320,1,1786665217.793213,1786665217.793782,1786665217.796057,2.274,20,0
ALL,native,321,1,1786665217.796410,1786665217.796913,1786665217.799292,2.379,20,0
ALL,native,322,1,1786665217.799574,1786665217.800172,1786665217.801365,1.193,20,0
ALL,native,323,1,1786665217.801702,1786665217.803298,1786665217.804506,1.207,20,0
ALL,native,324,1,1786665217.804841,1786665217.805458,1786665217.807646,2.188,20,0
ALL,native,325,1,1786665217.807980,1786665217.808765,1786665217.809910,1.145,20,0
ALL,native,326,1,1786665217.810247,1786665217.811878,1786665217.813026,1.148,20,0
ALL,native,327,1,1786665217.813391,1786665217.813987,1786665217.816154,2.166,20,0
