arm,class,request_to_ack_ms,clrt_ms
timing_off,READ,1.5352,1.2500
timing_off,READ,0.5891,2.3830
timing_off,READ,0.6359,2.1440
timing_off,READ,0.6008,1.2170
timing_off,READ,1.5922,1.1670
timing_off,READ,0.6273,2.1620
timing_off,READ,0.6306,1.2520
timing_off,READ,1.6174,1.1560
timing_off,READ,0.6306,2.4080
timing_off,READ,0.6142,1.2540
timing_off,READ,1.6289,1.1560
timing_off,READ,0.6275,7.2990
timing_off,READ,0.6309,2.2430
timing_off,READ,0.6235,4.2420
timing_off,READ,0.6998,2.2640
timing_off,READ,0.6168,1.1630
timing_off,READ,1.5919,1.1310
timing_off,READ,0.6285,6.3210
timing_off,READ,0.7915,1.2020
timing_off,READ,1.5125,1.4530
timing_off,READ,1.5748,1.2460
timing_off,READ,0.6115,2.2470
timing_off,READ,0.6363,1.1590
timing_off,READ,1.6234,1.1460
timing_off,READ,0.5620,2.2620
timing_off,READ,0.6087,1.2360
timing_off,READ,1.5860,1.2100
timing_off,READ,0.5617,2.1960
timing_off,READ,0.6273,1.3920
timing_off,READ,1.5795,1.1430
timing_off,READ,0.5090,2.3560
timing_off,READ,0.4957,1.2570
timing_off,READ,1.5862,1.2290
timing_off,READ,0.5691,2.2920
timing_off,READ,0.6135,1.2310
timing_off,READ,1.5557,1.2150
timing_off,READ,0.6235,2.1710
timing_off,READ,0.6294,1.2090
timing_off,READ,1.5783,1.1300
timing_off,READ,0.6011,2.3000
timing_off,READ,0.6282,1.1750
timing_off,READ,1.5876,1.1620
timing_off,READ,0.6285,2.2600
timing_off,READ,0.5987,1.2140
timing_off,READ,1.4989,1.2960
timing_off,READ,0.4985,2.2690
timing_off,READ,0.5131,1.3080
timing_off,READ,1.4911,1.2390
timing_off,READ,0.6309,2.2150
timing_off,READ,0.5798,2.3870
timing_off,READ,0.6437,1.2100
timing_off,READ,1.6103,1.1510
timing_off,READ,0.5431,2.1710
timing_off,READ,4.7956,1.2080
timing_off,READ,1.6606,1.1460
timing_off,READ,0.6154,2.2120
timing_off,READ,0.6189,1.1600
timing_off,READ,1.6246,1.1380
timing_off,READ,0.6073,2.4940
timing_off,READ,0.6349,1.1620
timing_off,READ,1.5755,1.2620
timing_off,READ,0.6466,2.1480
timing_off,READ,0.6187,1.2420
timing_off,READ,1.5824,1.1080
timing_off,READ,0.5441,2.2840
timing_off,READ,0.6332,1.1250
timing_off,READ,1.6904,1.1450
timing_off,READ,0.6278,2.2310
timing_off,READ,0.6280,1.2140
timing_off,READ,1.5454,1.3350
timing_off,READ,0.5047,2.2630
timing_off,READ,0.5882,2.2230
timing_off,READ,0.6034,1.1950
timing_off,READ,0.5844,2.2140
timing_off,READ,0.6104,2.2990
timing_off,READ,0.5686,1.2410
timing_off,READ,1.6084,1.2120
timing_off,READ,0.6032,2.1160
timing_off,READ,0.5715,1.2820
timing_off,READ,1.6327,1.1610
timing_off,READ,0.8528,2.0880
